Title,Rating,Studio,Adaptation,Genre,Duration,Show Type,No of Episodes,Year of Release
Fullmetal Alchemist: Brotherhood,4.53 Masterpiece,BONES Inc.,Manga,Adventure,~25min,TV-Series,64,2009
Frieren: Beyond Journey’s End,4.52 Masterpiece,MADHOUSE Inc.,Manga,Adventure,~25min,TV-Series,28,2023
The Apothecary Diaries: Season 2,4.51 Masterpiece,"OLM, Inc., TOHO animation STUDIO Co., Ltd.",Light Novel,Drama,~24min,TV-Series,24,2025
Code Geass: Lelouch of the Rebellion R2,4.49 Masterpiece,SUNRISE Inc.,Original Work,Action Drama,~24min,TV-Series,25,2008
Death Note,4.49 Masterpiece,MADHOUSE Inc.,Manga,Supernatural Thriller,~23min,TV-Series,37,2006
Solo Leveling: Arise from the Shadow,4.49 Masterpiece,A-1 Pictures Inc.,Webtoon,Adventure,~24min,TV-Series,13,2025
The Apothecary Diaries,4.49 Masterpiece,"OLM, Inc., TOHO animation STUDIO Co., Ltd.",Light Novel,Drama,~23min,TV-Series,24,2023
Attack on Titan: Season 3 (Part 2),4.46 Masterpiece,"WIT STUDIO, Inc.",Manga,Action Drama,~24min,TV-Series,10,2019
Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,4.45 Masterpiece,"ufotable, Inc.",Manga,Action Drama,~27min,TV-Series,11,2021
Code Geass: Lelouch of the Rebellion,4.44 Masterpiece,SUNRISE Inc.,Original Work,Action Drama,~24min,TV-Series,25,2006
Steins;Gate,4.43 Masterpiece,"WHITE FOX Co., Ltd.",Visual Novel,Supernatural Thriller,~24min,TV-Series,24,2011
Clannad: After Story,4.41 Masterpiece,"Kyoto Animation Co., Ltd.",Visual Novel,Sentimental Drama,~24min,TV-Series,24,2008
Fruits Basket: The Final Season,4.43 Masterpiece,"TMS Entertainment Co., Ltd.",Manga,Drama,~24min,TV-Series,13,2021
GTO: Great Teacher Onizuka,4.41 Masterpiece,"Pierrot Co., Ltd.",Manga,Drama,~26min,TV-Series,43,1999
Oshi no Ko,4.39 Masterpiece,Doga Kobo,Manga,Sentimental Drama,~30min,TV-Series,11,2023
Attack on Titan: Final Season Part 2,4.37 Masterpiece,"MAPPA Co., Ltd.",Manga,Action Drama,~24min,TV-Series,12,2022
That Time I Got Reincarnated as a Slime: Season 2,4.37 Masterpiece,"8bit Corp, Inc.",Light Novel,Adventure,~24min,TV-Series,12,2021
Gintama (Episodes 266-316),4.37 Masterpiece,BANDAI NAMCO Pictures Inc.,Manga,Nonsense-Comedy,~24min,TV-Series,51,2015
Erased,4.35 Masterpiece,A-1 Pictures Inc.,Manga,Supernatural Thriller,~23min,TV-Series,12,2016
Mushoku Tensei: Jobless Reincarnation (Part 2),4.35 Masterpiece,"StudioBind Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2021
Gintama (Episodes 253-265),4.36 Masterpiece,SUNRISE Inc.,Manga,Nonsense-Comedy,~24min,TV-Series,13,2012
Bleach: Thousand-Year Blood War,4.37 Masterpiece,"Pierrot Co., Ltd.",Manga,Fighting-Shounen,~25min,TV-Series,13,2022
Attack on Titan: Final Season,4.35 Masterpiece,"MAPPA Co., Ltd.",Manga,Action Drama,~24min,TV-Series,16,2020
Oshi no Ko 2,4.36 Masterpiece,Doga Kobo,Manga,Drama,~24min,TV-Series,13,2024
The Dangers in My Heart: Season 2,4.36 Masterpiece,"Shin-ei Animation Co., Ltd.",Manga,Romantic Comedy,~23min,TV-Series,13,2024
Kaguya-sama: Love Is War - Ultra Romantic,4.35 Masterpiece,A-1 Pictures Inc.,Manga,Romantic Comedy,~25min,TV-Series,13,2022
That Time I Got Reincarnated as a Slime: Season 2 (Part 2),4.34 Masterpiece,"8bit Corp, Inc.",Light Novel,Adventure,~24min,TV-Series,12,2021
Hunter × Hunter (2011),4.34 Masterpiece,MADHOUSE Inc.,Manga,Fighting-Shounen,~24min,TV-Series,148,2011
Demon Slayer: Kimetsu no Yaiba,4.33 Masterpiece,"ufotable, Inc.",Manga,Action Drama,~24min,TV-Series,26,2019
Haikyu!! To the Top (Part 2),4.34 Masterpiece,"Production I.G., Inc.",Manga,Ganbatte,~24min,TV-Series,12,2020
Attack on Titan: Season 3,4.33 Masterpiece,"WIT STUDIO, Inc.",Manga,Action Drama,~24min,TV-Series,12,2018
Demon Slayer: Kimetsu no Yaiba - Swordsmith Village Arc,4.33 Masterpiece,"ufotable, Inc.",Manga,Action Drama,~29min,TV-Series,11,2023
Mushi-Shi: The Next Passage 2,4.34 Masterpiece,Animation Studio Artland Inc.,Manga,Drama,~24min,TV-Series,10,2014
Haikyu!! 3rd Season,4.33 Masterpiece,"Production I.G., Inc.",Manga,Ganbatte,~24min,TV-Series,10,2016
Gintama (Episodes 202-252),4.33 Masterpiece,SUNRISE Inc.,Manga,Nonsense-Comedy,~25min,TV-Series,51,2011
Gintama (Episodes 317-328),4.34 Masterpiece,BANDAI NAMCO Pictures Inc.,Manga,Nonsense-Comedy,~24min,TV-Series,12,2017
Attack on Titan,4.31 Masterpiece,"WIT STUDIO, Inc.",Manga,Action Drama,~24min,TV-Series,25,2013
Demon Slayer: Kimetsu no Yaiba - Mugen Train Arc,4.31 Masterpiece,"ufotable, Inc.",Manga,Action Drama,~24min,TV-Series,7,2021
My Hero Academia Season 6,4.31 Masterpiece,BONES Inc.,Manga,Action Comedy,~24min,TV-Series,25,2022
My Dress-Up Darling,4.29 Masterpiece,CloverWorks Inc.,Manga,Romantic Comedy,~24min,TV-Series,12,2022
Mushi-Shi: The Next Passage,4.30 Masterpiece,Animation Studio Artland Inc.,Manga,Drama,~24min,TV-Series,11,2014
