Title,Rating,Studio,Adaptation,Genre,Duration,Show Type,No of Episodes,Year of Release,Description
Fullmetal Alchemist: Brotherhood,4.53 Masterpiece,BONES Inc.,Manga,Adventure,~25min,TV-Series,64,2009,"The brothers and alchemists Edward and Alphonse Elric made a terrible mistake when they were young: When a strictly forbidden transmutation goes wrong, Edward loses a leg. His brother is hit even worse. Edward can only save him by sacrificing his own arm in an equivalent exchange and binding Alphonse’ soul to a piece of armour. His body, however, seems lost. A much too high price that the two of them had to pay for their recklessness. That’s why they try everything to get their old bodies back. In their aim to achieve the best research conditions in the field of alchemy, their path eventually leads them to the army of Amestris. The military dictatorship of the country uses so-called State Alchemists as elite fighters in wars and conflicts. In times of peace, however, the “lackeys of the army” are free to research as they wish and have access to extensive records on alchemy, as well as financial support. But soon the Elric brothers realise that their own problems are almost insignificant compared to the threat facing the land of Amestris …  Annotation: “Fullmetal Alchemist: Brotherhood” is the second anime adaptation of the manga of the same name by Hiromu Arakawa. However, it is not a sequel to the anime from 2003, but rather a retelling of the story of the Elric brothers that follows the manga much more closely than the first anime adaptation."
Frieren: Beyond Journey’s End,4.52 Masterpiece,MADHOUSE Inc.,Manga,Adventure,~25min,TV-Series,28,2023,"For ten years, the adventurer group around the elf mage Frieren has been on the road and has finally managed to defeat the demon king. Now peace reigns in the land, and Frieren, the human swordsman Himmel, the human priest Heiter and the dwarf Eisen spend one last evening together to celebrate their victory and talk about their time together. While doing so, they see a meteor shower that recurs every fifty years. Freeze, who as an elf faces an almost infinitely long life, suggests to her other group members that they meet again in fifty years to witness the spectacle once more. She then sets off on her own to learn more powerful spells.  However, Frieren has not considered that for elves, fifty years is merely a short time, while a human or dwarf life passes much more quickly. When she actually returns to the town where she left her companions after fifty years, she is shocked to discover how much has changed. Heiter and Eisen have become ancient – and Himmel has died. For the first time, the elf realises what it means to be virtually immortal and regrets how little time she has taken to get to know her companions better. Before she can prevent it, Heiter then also pushes Fern, a young human, onto her, who is to accompany her on her journey in the future. Since she cannot refuse her dying friend his last wish, the unequal team sets out together to learn not only about the world but also about themselves"
The Apothecary Diaries: Season 2,4.51 Masterpiece,"OLM, Inc., TOHO animation STUDIO Co., Ltd.",Light Novel,Drama,~24min,TV-Series,24,2025,"The story of Maomao, the apothecary in the imperial palace, enters its second round! The imperial consort Gyokuyou is expecting another child – a secret that must not be revealed under any circumstances. However, rumours spread quickly, and Maomao faces the challenge of protecting Gyokuyou during her pregnancy and training the women of the inner palace. Between poison tests and lessons, she stumbles across a problem of a completely different kind: a small, furry troublemaker turns up and causes unexpected turbulence.  While Maomao juggles with everyday life in the palace, a caravan from faraway lands attracts everyone’s attention: exotic goods, mysterious scents and new faces – some with unknown intentions. When a second-ranking consort suddenly dies and a lady-in-waiting disappears without a trace, chaos breaks out in the palace. Amid this chaos, Maomao is given a very special assignment: to investigate an extremely rare – and potentially deadly – fungus.  The palace increasingly turns into a scene of temptation and danger, and Maomao once again becomes entangled in a web of lies and secrets. But who is pulling the strings in the background? And what role does the mysterious eunuch Jinshi play in all of it?"
Code Geass: Lelouch of the Rebellion R2,4.49 Masterpiece,SUNRISE Inc.,Original Work,Action Drama,~24min,TV-Series,25,2008,"“Code Geass: Lelouch of the Rebellion R2” continues the first season. One year has passed since the failed rebellion and the apparent death of Zero. Britannia’s rule has been secured once more and the rebellion’s followers have largely been arrested. To suppress future rebellions and rebellious thoughts in Area 11, the Elevens are made an example of with immense brutality. Lelouch, not knowing about his past as Zero and now a simple high school student, suddenly finds himself in a plot against his life and that of a mysterious woman called C.C. who reveals his past plans to him as well as his old identity so that he can finish what he started."
Death Note,4.49 Masterpiece,MADHOUSE Inc.,Manga,Supernatural Thriller,~23min,TV-Series,37,2006,"Light Yagami is a high school student and about to take the difficult entrance exams for Japan’s elite universities. But that’s not a big challenge for Light. After all, he is blessed with such outstanding intelligence that he passes all his exams with flying colours, and he’s also diligent and conscientious. But one day, he finds a mysterious notebook in the school yard. It’s a so-called Death Note. It says that any person whose name is written inside of it will die. After being sceptical at first, Light finds out that the notebook actually works by testing it on criminals. Not only does he find out more about exactly how it works, but he soon meets the original owner of the book: a God of Death.  The temptation of using the book is too big for Light: He sees the Death Note as a chance to rid the world of evil and criminals. Soon, the incredible number of unexplained deaths of criminals attracts the attention of the police. At the head of the international special commission set up for this purpose are the Tokyo police chief and a special investigator of whom neither face nor name are known. He is only addressed as L. The hunt begins …"
Solo Leveling: Arise from the Shadow,4.49 Masterpiece,A-1 Pictures Inc.,Webtoon,Adventure,~24min,TV-Series,13,2025,"After surviving the Double Dungeon, Jin-Woo steadily levels up and has been assigned a job as a so-called “Necromancer”! This gives him the new ability to add the defeated enemies to his Shadow Army, making him even stronger.  Upon entering a C-rank dungeon with hunters from the White Tiger Guild, it turns out to be a “Red Dungeon” – a perilous, high-level dungeon that cuts you off from the outside world. Here, the group encounters not only Ice Bears but also powerful and bloodthirsty Ice Elves, a generally feared enemy for hunters. For Jin-Woo, however, this seems like the perfect situation to put his newly formed shadow army to the test. Is he strong enough together with them to take on the ice elves?  Trouble is also brewing outside the dungeon: as his powers grow, it becomes increasingly difficult for Jin-Woo to keep his new abilities a secret. His friends may keep his secret, but how long will he be able to play hide-and-seek with the other hunters? And then there’s Dong-Su, Dong-Suk’s brother, who wants revenge for his brother and, therefore, is targeting Jin-Woo and Jin-Ho …"
The Apothecary Diaries,4.49 Masterpiece,"OLM, Inc., TOHO animation STUDIO Co., Ltd.",Light Novel,Drama,~23min,TV-Series,24,2023,"In ancient Asia lives a young woman named Maomao, who ekes out a living as a pharmacist in the red-light district and is always thinking about making medicine to earn her daily bread. Her goal is to eventually find a vocation where she can earn a lot of money with as little work as possible and enjoy a pleasant everyday life – but this is not to be granted to her! She is abducted from the red-light district and forced to work as a simple servant in the imperial palace. Of course, she does not like this at all, which is why she is already thinking of a plan to escape this awkward situation.  By chance, she learns at this time that the emperor’s two sons are apparently suffering from a disease that no one is able to cure, which is why the self-proclaimed physician takes on this case in secret. Despite all temptations to remain anonymous, she is unmasked after only a short time by one of the two descendants – namely, Jinshi. He immediately recognises that the 17-year-old has a hidden talent and decides to employ her as his personal physician. In this new vocation, she now has to decipher all kinds of complicated diseases, far from all of which occur naturally. Will Maomao be able to solve all the medical mysteries and live the life she wants, or will her plans be thwarted?"
Attack on Titan: Season 3 (Part 2),4.46 Masterpiece,"WIT STUDIO, Inc.",Manga,Action Drama,~24min,TV-Series,10,2019,"Shingeki no Kyojin Season 3 (2019) is the second part of the third season of the anime adaptation to Hajime Isayama’s manga of the same name and seamlessly continues its prequel. After Hanji failed to analyse the Titan Serum, Erwin decided to entrust Levi with the serum and risk administering it to someone who really needs it. With their plan to reconquer Wall Maria from the Titans, this could come to pass sooner than the scouts would like. The tensions within the squad rise and the emotions lie fallow … So during dinner on the eve of the operation there are more than a few arguments between the members. But the cheering and encouragement from the inhabitants of Trost District the next morning once again awakens the honour and resolve of the Scout Squad, while Berthold and Reiner stand guard on Wall Maria.  What will happen with Eren, Mikasa, and Armin, and what about the two corpses that cause a violent conflict between Eren, Mikasa, and Levi …?"
Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,4.45 Masterpiece,"ufotable, Inc.",Manga,Action Drama,~27min,TV-Series,11,2021,"“Demon Slayer: Kimetsu no Yaiba” finally enters its third round! “Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc” continues the story of Demon Slayer Tanjirou, his little sister Nezuko, Zenitsu and Inosuke. After the incidents on the Mugen Train, Tanjirou and his friends make their way back to the Kouchou-Residence to recuperate. However, Tanjirou soon takes to his heels to deliver the last message from the “Hashira of Flames”, Kyoujurou Rengoku, to his family and to learn more about his “Breath of Fire”. Though, after talking to Senjurou, Kyoujurou’s little brother, he realises that there is not much to learn either and makes his way back to the residence.  After four months of hard training and a fight with a temple demon, he witnesses a young man trying to kidnap Aoi and other members of the Kouchou-Residence. The man immediately turns out to be Tengen Uzui, the “Sound Hashira”, who needs helping hands for his mission. Tanjirou asks him to take him, Zenitsu and Inosuke instead of Aoi with him. Of course, Tengen doesn’t need to be told twice and they set off for Yoshiwara, one of Tokyo’s best-known red-light districts."
Code Geass: Lelouch of the Rebellion,4.44 Masterpiece,SUNRISE Inc.,Original Work,Action Drama,~24min,TV-Series,25,2006,"On August 10th, 2010, the Kingdom of Britannia invaded Japan. A terrible war began, which Japan lost due to the mechas developed by Britannia, the Kightmare Frames. Japan became part of the realm of Britannia and lost its freedom and rights and was given a new name, Area 11. Because Lelouch Lamperouge, the son of King Charles vi Britannia, had to see how his mother, Marianne vi Britannia, killed by terrorists and his father doing nothing to stop them, he swore to take revenge and destroy the Kingdom of Britannia.  7 years after the war, Lelouch lives in Area 11 and goes to school there. One day, he sees a lorry being chased by Knightmare Frames crash into a wall. Through unfortunate circumstances, he falls into the lorry and finds himself in an underground vault, where suddenly a girl comes out of a container that was on top of the lorry. Lelouch flees through the sewers with the girl but is caught by Britannia’s troops at the exit. Just as they are about to shoot him for terrorism, the girl offers him a contract that would give him the power to flee from the situation alive. Without hesitation, Lelouch accepts. Now Lelouch has something he can use to destroy the Kingdom of Britannia, and so he begins his preparations for his campaign to destroy Britannia."
